"series","episode","baker_name","baker","result","baker_age","baker_occupation","hometown","signature_bake","show_stopper","technical"
3,4,"Brendan Lynch","Brendan","STAR BAKER",63,"Recruitment consultant","Sutton Coldfield","Clementine and Chestnut Torte","Pear, Chocolate and Hazelnut Dacquoise",1
3,4,"Cathryn Dresser","Cathryn","IN",27,"Shop assistant","Pease Pottage, West Sussex","White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue",3
3,4,"Danny Bryden","Danny","IN",45,"Intensive care consultant","Sheffield","Blackberry, White Chocolate, Lemon and Elderflower Torte","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise",2
3,4,"James Morton","James","IN",21,"Medical student","Hillswick, Shetland Islands","Hazelnut, Chocolate and Passionfruit Torte","Fig, Chestnut, Cherry and Chocolate Layered Meringue",5
3,4,"John Whaite","John","IN",22,"Law student","Wigan","'Torte Noir' Black Forest Torte with Boozy Cream","Elderflower and Bramble Berry Pavlova",6
3,4,"Manisha Parmar","Manisha","IN",27,"Nursery nurse","Leicester","Almond, Chocolate and Cherry Torte","Tiramisu Layered Meringue Dessert",9
3,4,"Ryan Chong","Ryan","IN",38,"Photographer","Bristol","Green Tea Opera Torte","Strawberry, Rose and Pistachio Meringue",7
3,4,"Sarah-Jane Willis","Sarah-Jane","IN",28,"Vicar's wife","Bewbush, West Sussex","Chocolate and Almond Truffle Torte","Hazelnut Tiramisu Layered Meringue",4
3,4,"Stuart Marston-Smith","Stuart","OUT",26,"PE teacher","Lichfield, Staffordshire","Black Forest Torte","Choca Blocka Mocha Meringue",8
3,4,NA,"Natasha",NA,NA,NA,NA,NA,NA,NA
3,4,NA,"Peter",NA,NA,NA,NA,NA,NA,NA
3,4,NA,"Victoria",NA,NA,NA,NA,NA,NA,NA
3,5,"Brendan Lynch","Brendan","IN",63,"Recruitment consultant","Sutton Coldfield","Salmon Coulibiac in a Scandinavian Pastry","All American Chiffon Pie",3
3,5,"Cathryn Dresser","Cathryn","IN",27,"Shop assistant","Pease Pottage, West Sussex","Full English Wellington","Chocolate and Peanut Butter Pumpkin Pie",1
3,5,"Danny Bryden","Danny","IN",45,"Intensive care consultant","Sheffield","Chickpea, Spinach & Mushroom Wellington","Trick or Treat Pumpkin Pie",7
3,5,"James Morton","James","IN",21,"Medical student","Hillswick, Shetland Islands","Four Pig Wellington","Sweet Potato Pie",6
3,5,"John Whaite","John","IN",22,"Law student","Wigan","Venison and Haggis Wellington","Star-Spangled Pecan Pie",2
3,5,"Manisha Parmar","Manisha","OUT",27,"Nursery nurse","Leicester","Lamb Wellington with Rosemary and Mint","Banana Scotch Pie",5
3,5,"Ryan Chong","Ryan","STAR BAKER",38,"Photographer","Bristol","Curry Spiced Seabass Wellington","Key Lime Pie",8
3,5,"Sarah-Jane Willis","Sarah-Jane","IN",28,"Vicar's wife","Bewbush, West Sussex","Beef Wellington with Parma Ham and Gorgonzola Cheese","Chocolate and Banana Cream Pie",4
3,5,NA,"Natasha",NA,NA,NA,NA,NA,NA,NA
3,5,NA,"Peter",NA,NA,NA,NA,NA,NA,NA
3,5,NA,"Stuart",NA,NA,NA,NA,NA,NA,NA
3,5,NA,"Victoria",NA,NA,NA,NA,NA,NA,NA
3,6,"Brendan Lynch","Brendan","STAR BAKER",63,"Recruitment consultant","Sutton Coldfield","Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel",1
3,6,"Cathryn Dresser","Cathryn","IN",27,"Shop assistant","Pease Pottage, West Sussex","Chocolate Walnut Whip Puddings
Elderflower Sponges","Roasted Vegetable Couscous and Sheep Cheese Strudel",3
3,6,"Danny Bryden","Danny","IN",45,"Intensive care consultant","Sheffield","Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants","Leek, Potato, Pistachio and Gruyère Strudel",2
3,6,"James Morton","James","IN",21,"Medical student","Hillswick, Shetland Islands","Banana and Clove PuddingsClootie Dumplings","Strawberry, Rhubarb and Ginger Strudel",7
3,6,"John Whaite","John","IN",22,"Law student","Wigan","Spicy Toffee PuddingsRaspberry and White Chocolate Puddings","Did not complete due to injury",5
3,6,"Ryan Chong","Ryan","IN",38,"Photographer","Bristol","Chocolate FondantsSticky Ginger and Date Puddings","Apple, Sour Cherry, Raisin and Mixed Nuts Strudel",6
3,6,"Sarah-Jane Willis","Sarah-Jane","IN",28,"Vicar's wife","Bewbush, West Sussex","Sticky Toffee PuddingsGranny's Saucy Lemon Puddings","Sweet Strudel with Sour Cherries",4
3,6,NA,"Manisha",NA,NA,NA,NA,NA,NA,NA
3,6,NA,"Natasha",NA,NA,NA,NA,NA,NA,NA
3,6,NA,"Peter",NA,NA,NA,NA,NA,NA,NA
3,6,NA,"Stuart",NA,NA,NA,NA,NA,NA,NA
3,6,NA,"Victoria",NA,NA,NA,NA,NA,NA,NA
3,7,"Brendan Lynch","Brendan","IN",63,"Recruitment consultant","Sutton Coldfield","Chelsea Bunskis","Black Forest Christmas Stollen",4
3,7,"Cathryn Dresser","Cathryn","IN",27,"Shop assistant","Pease Pottage, West Sussex","Lady Arundel's Manchet Buns","Bonfire Night Tear 'n' Share Brioche",5
3,7,"Danny Bryden","Danny","STAR BAKER",45,"Intensive care consultant","Sheffield","Bakewell Chelsea Buns","European Christmas Wreath",2
3,7,"James Morton","James","IN",21,"Medical student","Hillswick, Shetland Islands","Easter Chelsea Buns","Whisky Kugelhopf-Brioche Baba",1
3,7,"John Whaite","John","IN",22,"Law student","Wigan","Cherry and Almond Saffron Buns","Marzipan Stollen",3
3,7,"Ryan Chong","Ryan","OUT",38,"Photographer","Bristol","Lardy Cakes","Char Siu Bao",6
3,7,"Sarah-Jane Willis","Sarah-Jane","OUT",28,"Vicar's wife","Bewbush, West Sussex","Orange, Nutmeg and Saffron Buns","Sour Cherry and Dark Chocolate Christmas Plait",7
3,7,NA,"Manisha",NA,NA,NA,NA,NA,NA,NA
3,7,NA,"Natasha",NA,NA,NA,NA,NA,NA,NA
3,7,NA,"Peter",NA,NA,NA,NA,NA,NA,NA
3,7,NA,"Stuart",NA,NA,NA,NA,NA,NA,NA
3,7,NA,"Victoria",NA,NA,NA,NA,NA,NA,NA
3,8,"Brendan Lynch","Brendan","IN",63,"Recruitment consultant","Sutton Coldfield","Multi-Seed Savoury Crackers","Fantasy Gingerbread Bird House",2
3,8,"Cathryn Dresser","Cathryn","OUT",27,"Shop assistant","Pease Pottage, West Sussex","Cheese and Pickle Crackers","Gingerbread Buckingham Palace",5
3,8,"Danny Bryden","Danny","IN",45,"Intensive care consultant","Sheffield","Spiced Almond Drinks Crackers","Gingerbread Big Ben",4
3,8,"James Morton","James","STAR BAKER",21,"Medical student","Hillswick, Shetland Islands","Smoky Cayenne, Cumin and Chilli Crackers","Gingerbread Barn",1
3,8,"John Whaite","John","IN",22,"Law student","Wigan","Asian Spice Crackers","Gingerbread Roman Coliseum",3
3,8,NA,"Manisha",NA,NA,NA,NA,NA,NA,NA
3,8,NA,"Natasha",NA,NA,NA,NA,NA,NA,NA
3,8,NA,"Peter",NA,NA,NA,NA,NA,NA,NA
3,8,NA,"Ryan",NA,NA,NA,NA,NA,NA,NA
3,8,NA,"Sarah-Jane",NA,NA,NA,NA,NA,NA,NA
3,8,NA,"Stuart",NA,NA,NA,NA,NA,NA,NA
3,8,NA,"Victoria",NA,NA,NA,NA,NA,NA,NA
3,9,"Brendan Lynch","Brendan","IN",63,"Recruitment consultant","Sutton Coldfield","Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets","Gateau St. Honoré",3
3,9,"Danny Bryden","Danny","OUT",45,"Intensive care consultant","Sheffield","Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat","Rosewater and Lychee St. Honoré",4
3,9,"James Morton","James","STAR BAKER",21,"Medical student","Hillswick, Shetland Islands","Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons","Coffee, Caramel and Hazelnut Paris-Brest",1
3,9,"John Whaite","John","IN",22,"Law student","Wigan","Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons","Gateau St. Honoré a la Passion",2
3,9,NA,"Cathryn",NA,NA,NA,NA,NA,NA,NA
3,9,NA,"Manisha",NA,NA,NA,NA,NA,NA,NA
3,9,NA,"Natasha",NA,NA,NA,NA,NA,NA,NA
3,9,NA,"Peter",NA,NA,NA,NA,NA,NA,NA
3,9,NA,"Ryan",NA,NA,NA,NA,NA,NA,NA
3,9,NA,"Sarah-Jane",NA,NA,NA,NA,NA,NA,NA
3,9,NA,"Stuart",NA,NA,NA,NA,NA,NA,NA
3,9,NA,"Victoria",NA,NA,NA,NA,NA,NA,NA
3,10,"Brendan Lynch","Brendan","Runner-up",63,"Recruitment consultant","Sutton Coldfield","Potato and Pepper Pithivier","Family Reunion Chiffon Cake",2
3,10,"James Morton","James","Runner-up",21,"Medical student","Hillswick, Shetland Islands","Spanish Pithivier with Chorizo and Red Pepper","United Chiffon Cakes",1
3,10,"John Whaite","John","WINNER",22,"Law student","Wigan","Italian Sausage and Roasted Vegetable Pithivier","Heaven and Hell Chiffon Cake",2
3,10,NA,"Cathryn",NA,NA,NA,NA,NA,NA,NA
3,10,NA,"Danny",NA,NA,NA,NA,NA,NA,NA
3,10,NA,"Manisha",NA,NA,NA,NA,NA,NA,NA
3,10,NA,"Natasha",NA,NA,NA,NA,NA,NA,NA
3,10,NA,"Peter",NA,NA,NA,NA,NA,NA,NA
3,10,NA,"Ryan",NA,NA,NA,NA,NA,NA,NA
3,10,NA,"Sarah-Jane",NA,NA,NA,NA,NA,NA,NA
3,10,NA,"Stuart",NA,NA,NA,NA,NA,NA,NA
3,10,NA,"Victoria",NA,NA,NA,NA,NA,NA,NA
4,1,"Ali Imdad","Ali","IN",25,"Charity worker","Saltley, Birmingham","Rose and Pistachio Cake","Chocolate, Raspberry and Passion Fruit Engagement Cake",11
4,1,"Beca Lyne-Pirkis","Beca","IN",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Grapefruit Sandwich Cake","Chocolate Cherry Indulgence",8
4,1,"Christine Wallace","Christine","IN",66,"Director of an engraving company","Didcot, Oxfordshire","Strawberry, Vanilla and Rosewater Summer Basket","Chocolate and Orange 'Fripperous' Hat Cake",3
4,1,"Deborah Manger","Deborah","IN",51,"Dentist","Peterborough","Pineapple Cake","'Coffee Time'",9
4,1,"Frances Quinn","Frances","IN",31,"Children's Clothes Designer","Market Harborough, Leicestershire","Giant Jam Sandwich","Secret Squirrel Cake",7
4,1,"Glenn Cosby","Glenn","IN",37,"English Teacher","Teignmouth, Devon","Strawberries and Cream Cake","Almond and Espresso Chocolate Cake",4
4,1,"Howard Middleton","Howard","IN",51,"Council Worker","Sheffield","Passion Fruit and Coconut Cake","Black Forest Revisited",6
4,1,"Kimberley Wilson","Kimberley","IN",30,"Psychologist","London","Blood Orange Cake","Chocolate, Raspberry & Basil Layer Cake",10
4,1,"Lucy Bellamy","Lucy","IN",38,"Horticulturist","Grimsby, Lincolnshire","Timperley Early Cake","Thyme 'Wildwood' Cake",2
4,1,"Mark Onley","Mark","IN",37,"Carpenter and Kitchen Fitter","Milton Keynes","Lemon and Poppy Seed Cake","Chocolate Monster",5
4,1,"Robert Smart","Robert","STAR BAKER",54,"Space Satellite Designer","Melbourn, Cambridgeshire","Pecan and Apple Cake","Raspberry Chocolate Cake",1
4,1,"Ruby Tandoh","Ruby","IN",20,"History of Art and Philosophy Student","Southend, Essex","Rhubarb and Custard Sandwich Cake","Chocolate and Ginger Night Sky Cake",12
4,1,"Toby Waterworth","Toby","OUT",30,"Web Programmer","Reading, Berkshire","Spiced and Iced Carrot Cake","Two Tiered Chocolate Cake",13
4,2,"Ali Imdad","Ali","IN",25,"Charity worker","Saltley, Birmingham","Italian Grissini","Sweet and Savoury Yin Yang Bread",9
4,2,"Beca Lyne-Pirkis","Beca","IN",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Fennel and Chilli Breadsticks","Five Strand Christmas Wreath",11
4,2,"Christine Wallace","Christine","IN",66,"Director of an engraving company","Didcot, Oxfordshire","Mediterranean Breadsticks with Oregano","Double Plaited Loaf",4
4,2,"Deborah Manger","Deborah","IN",51,"Dentist","Peterborough","Fennel & Chilli Breadsticks","Walnut Fleur Loaf",8
4,2,"Frances Quinn","Frances","IN",31,"Children's Clothes Designer","Market Harborough, Leicestershire","Giant Matchsticks","Sailor's Knot",2
4,2,"Glenn Cosby","Glenn","IN",37,"English Teacher","Teignmouth, Devon","Rosemary and Parmesan Grissini","Harvest Crown",7
4,2,"Howard Middleton","Howard","IN",51,"Council Worker","Sheffield","Moroccan Breadsticks","Picasso Sun Bread",10
4,2,"Kimberley Wilson","Kimberley","IN",30,"Psychologist","London","Nigella Seed and Parmesan Breadsticks","Peace Bread",1
4,2,"Lucy Bellamy","Lucy","OUT",38,"Horticulturist","Grimsby, Lincolnshire","Grissini with Salt","Roast Tomato Bread",12
4,2,"Mark Onley","Mark","IN",37,"Carpenter and Kitchen Fitter","Milton Keynes","Rosemary & Raisin Breadsticks","Sage & Garlic Plait",6
4,2,"Robert Smart","Robert","IN",54,"Space Satellite Designer","Melbourn, Cambridgeshire","Twisty Rye Bread Sticks","Tribute Loaf",5
4,2,"Ruby Tandoh","Ruby","STAR BAKER",20,"History of Art and Philosophy Student","Southend, Essex","Mexican Breadsticks","White Chocolate and Orange Peacock Bread",3
4,2,NA,"Toby",NA,NA,NA,NA,NA,NA,NA
4,3,"Ali Imdad","Ali","IN",25,"Charity worker","Saltley, Birmingham","Coconut, Raspberry and Lemon Meringue Trifle","Vanilla Latte Mini CakesLime & Mint Shortbread Pops",5
4,3,"Beca Lyne-Pirkis","Beca","IN",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Orange and Ginger Trifle","Limoncello and Blueberry BurstsMillionaire Shortbread",10
4,3,"Christine Wallace","Christine","STAR BAKER",66,"Director of an engraving company","Didcot, Oxfordshire","Caribbean Pina Colada Trifle","Ninety-NinersSachertorte Parcels",4
4,3,"Deborah Manger","Deborah","OUT",51,"Dentist","Peterborough","Tropical Trifle*","Canelé Cherry and Chocolate CakesRose Cookies",9
4,3,"Frances Quinn","Frances","IN",31,"Children's Clothes Designer","Market Harborough, Leicestershire","Apple and Blackberry Crumble Trifle","'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes",8
4,3,"Glenn Cosby","Glenn","IN",37,"English Teacher","Teignmouth, Devon","Raspberry and Almond Trifle","Billionaire BouchéesOrange Financiers",1
4,3,"Howard Middleton","Howard","IN",51,"Council Worker","Sheffield","Caramel and Apple Trifle*","Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits",7
4,3,"Kimberley Wilson","Kimberley","IN",30,"Psychologist","London","Peach, Almond and Ginger Trifle","Chocolate Pistachio FinanciersLemon Bergamot Biscuits",6
4,3,"Mark Onley","Mark","OUT",37,"Carpenter and Kitchen Fitter","Milton Keynes","Ginger, Mango and Passion Fruit Trifle","Rose and Pistachio MacaroonsChocolate and Raspberry Bites",11
4,3,"Robert Smart","Robert","IN",54,"Space Satellite Designer","Melbourn, Cambridgeshire","Rhubarb and Orange Trifle","Almond FriandsTurǫn Macaroons",2
4,3,"Ruby Tandoh","Ruby","IN",20,"History of Art and Philosophy Student","Southend, Essex","Desert Island Trifle","Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes",3
4,3,NA,"Lucy",NA,NA,NA,NA,NA,NA,NA
4,3,NA,"Toby",NA,NA,NA,NA,NA,NA,NA
4,4,"Ali Imdad","Ali","OUT",25,"Charity worker","Saltley, Birmingham","Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","Orange, Cardamom and Date M'Hanncha",8
4,4,"Beca Lyne-Pirkis","Beca","IN",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Mamgu's Cherry-Apple Tart","Moroccan Vegetable Filo Feast",2
4,4,"Christine Wallace","Christine","IN",66,"Director of an engraving company","Didcot, Oxfordshire","Granny Rogers' Apple, Plum & Cinnamon Country Pie","Roasted Vegetable Filo Pie with Feta Cheese",7
4,4,"Frances Quinn","Frances","IN",31,"Children's Clothes Designer","Market Harborough, Leicestershire","Peach Pie In the Sky","Cherry Tree Baklava Filo Pie",1
4,4,"Glenn Cosby","Glenn","IN",37,"English Teacher","Teignmouth, Devon","Apple & Maple Syrup Pie","Spanakopita (Walnut and Feta Cheese)",9
4,4,"Howard Middleton","Howard","IN",51,"Council Worker","Sheffield","Apple Pie with Sage Pastry","Fresh Fig and Feta Filo Flan",5
4,4,"Kimberley Wilson","Kimberley","STAR BAKER",30,"Psychologist","London","Pecan and Rosemary Caramel Apple Pie","Chicken, Bacon and Butternut Squash Pie",4
4,4,"Robert Smart","Robert","IN",54,"Space Satellite Designer","Melbourn, Cambridgeshire","Apple and Pear Pie with Thyme","Spanakopita with St George's Mushrooms",3
4,4,"Ruby Tandoh","Ruby","IN",20,"History of Art and Philosophy Student","Southend, Essex","Apple and Marzipan Pie","Rose, Almond and Raspberry Filo Pie",6
4,4,NA,"Deborah",NA,NA,NA,NA,NA,NA,NA
4,4,NA,"Lucy",NA,NA,NA,NA,NA,NA,NA
4,4,NA,"Mark",NA,NA,NA,NA,NA,NA,NA
4,4,NA,"Toby",NA,NA,NA,NA,NA,NA,NA
4,5,"Beca Lyne-Pirkis","Beca","IN",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Chocolate, Cherry and Hazelnut Brownies","Tiered Macaron and Sugar Dough Biscuit Centrepiece",5
4,5,"Christine Wallace","Christine","STAR BAKER",66,"Director of an engraving company","Didcot, Oxfordshire","Mixed Berry and Almond Crumble Traybake","Shortbread Bavarian Clock Tower",1
4,5,"Frances Quinn","Frances","IN",31,"Children's Clothes Designer","Market Harborough, Leicestershire","Millionaire Banoffee Bonus","Biscuit Buttons and Beads",3
4,5,"Glenn Cosby","Glenn","IN",37,"English Teacher","Teignmouth, Devon","Apricot and Pistachio Tiffin","Shortbread and Macaron Helter-Skelter",2
4,5,"Howard Middleton","Howard","IN",51,"Council Worker","Sheffield","Breakfast Traybake","Japanese Pagoda Tea Tower",8
4,5,"Kimberley Wilson","Kimberley","IN",30,"Psychologist","London","Cherry and Almond Bakewell Florentine Slice","Black and White Viennese Biscuit Stack",7
4,5,"Robert Smart","Robert","OUT",54,"Space Satellite Designer","Melbourn, Cambridgeshire","Blueberry & Orange Traybake","Dalek",4
4,5,"Ruby Tandoh","Ruby","IN",20,"History of Art and Philosophy Student","Southend, Essex","Blackberry and Lemon Bakewell Slice","'Dropped Ice-Cream' Biscuit Centrepiece",6
4,5,NA,"Ali",NA,NA,NA,NA,NA,NA,NA
4,5,NA,"Deborah",NA,NA,NA,NA,NA,NA,NA
4,5,NA,"Lucy",NA,NA,NA,NA,NA,NA,NA
4,5,NA,"Mark",NA,NA,NA,NA,NA,NA,NA
4,5,NA,"Toby",NA,NA,NA,NA,NA,NA,NA
4,6,"Beca Lyne-Pirkis","Beca","IN",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Bara Brith","Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns",6
4,6,"Christine Wallace","Christine","IN",66,"Director of an engraving company","Didcot, Oxfordshire","Oxford Nutty Fruit Loaf","Schnecken BunsVanilla Custard Skolebrød",4
4,6,"Frances Quinn","Frances","IN",31,"Children's Clothes Designer","Market Harborough, Leicestershire","Chai Tea Loaf","Hot Cross BriochesRhubarb and Custard Kolaches",2
4,6,"Glenn Cosby","Glenn","IN",37,"English Teacher","Teignmouth, Devon","Devonshire Panettone","Almond and Apricot BriochesSticky Caramel Kanelbullen",5
4,6,"Howard Middleton","Howard","OUT",51,"Council Worker","Sheffield","Date & Hemp Yorkshire Loaf","Peachy BunsGerman Baumschnecken",7
4,6,"Kimberley Wilson","Kimberley","IN",30,"Psychologist","London","Chai Spiced Ginger and Date Tea Loaf","Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer",3
4,6,"Ruby Tandoh","Ruby","STAR BAKER",20,"History of Art and Philosophy Student","Southend, Essex","Citrus Tea Loaf","Twisted Swedish KanelbullarSaffron St. Lucia Buns",1
4,6,NA,"Ali",NA,NA,NA,NA,NA,NA,NA
4,6,NA,"Deborah",NA,NA,NA,NA,NA,NA,NA
4,6,NA,"Lucy",NA,NA,NA,NA,NA,NA,NA
4,6,NA,"Mark",NA,NA,NA,NA,NA,NA,NA
4,6,NA,"Robert",NA,NA,NA,NA,NA,NA,NA
4,6,NA,"Toby",NA,NA,NA,NA,NA,NA,NA
4,7,"Beca Lyne-Pirkis","Beca","IN",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy","Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille",1
4,7,"Christine Wallace","Christine","IN",66,"Director of an engraving company","Didcot, Oxfordshire","Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream","Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille",6
4,7,"Frances Quinn","Frances","STAR BAKER",31,"Children's Clothes Designer","Market Harborough, Leicestershire","Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream","French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers",5
4,7,"Glenn Cosby","Glenn","OUT",37,"English Teacher","Teignmouth, Devon","Prune and Armagnac Puddingwith Boozy Butterscotch Sauce","Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille",3
4,7,"Kimberley Wilson","Kimberley","IN",30,"Psychologist","London","Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard","Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette",4
4,7,"Ruby Tandoh","Ruby","IN",20,"History of Art and Philosophy Student","Southend, Essex","Plum Jam Roly-Polywith Ginger Ice cream","Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts",2
4,7,NA,"Ali",NA,NA,NA,NA,NA,NA,NA
4,7,NA,"Deborah",NA,NA,NA,NA,NA,NA,NA
4,7,NA,"Howard",NA,NA,NA,NA,NA,NA,NA
4,7,NA,"Lucy",NA,NA,NA,NA,NA,NA,NA
4,7,NA,"Mark",NA,NA,NA,NA,NA,NA,NA
4,7,NA,"Robert",NA,NA,NA,NA,NA,NA,NA
4,7,NA,"Toby",NA,NA,NA,NA,NA,NA,NA
4,8,"Beca Lyne-Pirkis","Beca","IN",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Potato, Spelt and Rosemary Focaccia","Spiced Butternut Squash and Pecan 'Cheese' Cake",4
4,8,"Christine Wallace","Christine","OUT",66,"Director of an engraving company","Didcot, Oxfordshire","Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds","Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant",5
4,8,"Frances Quinn","Frances","IN",31,"Children's Clothes Designer","Market Harborough, Leicestershire","'Chelsea Flour Show' Bun Bouquet","Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)",3
4,8,"Kimberley Wilson","Kimberley","IN",30,"Psychologist","London","Wild Garlic Pesto and Parma Ham Spelt Loaf","Butternut Squash and Spice Cake Toadstool House",2
4,8,"Ruby Tandoh","Ruby","STAR BAKER",20,"History of Art and Philosophy Student","Southend, Essex","Mango and Nigella Seed Spelt Cob","Carrot Cake and Pistachio Garden Plot",1
4,8,NA,"Ali",NA,NA,NA,NA,NA,NA,NA
4,8,NA,"Deborah",NA,NA,NA,NA,NA,NA,NA
4,8,NA,"Glenn",NA,NA,NA,NA,NA,NA,NA
4,8,NA,"Howard",NA,NA,NA,NA,NA,NA,NA
4,8,NA,"Lucy",NA,NA,NA,NA,NA,NA,NA
4,8,NA,"Mark",NA,NA,NA,NA,NA,NA,NA
4,8,NA,"Robert",NA,NA,NA,NA,NA,NA,NA
4,8,NA,"Toby",NA,NA,NA,NA,NA,NA,NA
4,9,"Beca Lyne-Pirkis","Beca","OUT",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets","Banoffee Opera Cake",3
4,9,"Frances Quinn","Frances","IN",31,"Children's Clothes Designer","Market Harborough, Leicestershire","Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones","Great British Soap Opera Cake",2
4,9,"Kimberley Wilson","Kimberley","STAR BAKER",30,"Psychologist","London","Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken","Passion Fruit and Lime Opera Cake",1
4,9,"Ruby Tandoh","Ruby","IN",20,"History of Art and Philosophy Student","Southend, Essex","Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake",4
4,9,NA,"Ali",NA,NA,NA,NA,NA,NA,NA
4,9,NA,"Christine",NA,NA,NA,NA,NA,NA,NA
4,9,NA,"Deborah",NA,NA,NA,NA,NA,NA,NA
4,9,NA,"Glenn",NA,NA,NA,NA,NA,NA,NA
4,9,NA,"Howard",NA,NA,NA,NA,NA,NA,NA
4,9,NA,"Lucy",NA,NA,NA,NA,NA,NA,NA
4,9,NA,"Mark",NA,NA,NA,NA,NA,NA,NA
4,9,NA,"Robert",NA,NA,NA,NA,NA,NA,NA
4,9,NA,"Toby",NA,NA,NA,NA,NA,NA,NA
4,10,"Frances Quinn","Frances","WINNER",31,"Children's Clothes Designer","Market Harborough, Leicestershire","Rainbow Picnic Pie","Midsummer Night's Dream Wedding Cake",3
4,10,"Kimberley Wilson","Kimberley","Runner-up",30,"Psychologist","London","Chicken and Pig Pie","Languages of Love Wedding Cake",1
4,10,"Ruby Tandoh","Ruby","Runner-up",20,"History of Art and Philosophy Student","Southend, Essex","Picnic Basket Pie","Raspberry, Lemon and Passion Fruit Wedding Cake",2
4,10,NA,"Ali",NA,NA,NA,NA,NA,NA,NA
4,10,NA,"Beca",NA,NA,NA,NA,NA,NA,NA
4,10,NA,"Christine",NA,NA,NA,NA,NA,NA,NA
4,10,NA,"Deborah",NA,NA,NA,NA,NA,NA,NA
4,10,NA,"Glenn",NA,NA,NA,NA,NA,NA,NA
4,10,NA,"Howard",NA,NA,NA,NA,NA,NA,NA
4,10,NA,"Lucy",NA,NA,NA,NA,NA,NA,NA
4,10,NA,"Mark",NA,NA,NA,NA,NA,NA,NA
4,10,NA,"Robert",NA,NA,NA,NA,NA,NA,NA
4,10,NA,"Toby",NA,NA,NA,NA,NA,NA,NA
5,1,"Chetna Makan","Chetna","IN",35,"Fashion Designer","Broadstairs, Kent","Cardamom, Pistachio and Coffee Swiss Roll","Tiered Victoria Sponges with Lemon Curd and Raspberry Cream",3
5,1,"Claire Goodwin","Claire","OUT",31,"Speech Therapist","Ashton upon Mersey, Trafford","Chocolatey Orangey Swirly Roll","Mini Chocolate and Cherry Cakes",8
5,1,"Diana Beard","Diana","IN",69,"Women's Institute (WI) Judge","Alkington, Shropshire","Mum's Sunday Tea Lemon Curd Swiss Roll","Chocolate Ganache Surprises",5
5,1,"Enwezor Nzegwu","Enwezor","IN",39,"Business Consultant","Portsmouth, Hampshire","Raspberry and Lemon Swiss Roll","Coffee and Walnut Battenberg Squares",9
5,1,"Iain Watters","Iain","IN",31,"Construction Engineer","London/Belfast","Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream","Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon",4
